Player,Pos,G,FG,3P,FT,TRB,AST,STL,BLK,TOV,PTS
Usman Garuba\garubus01,PF,24,19,5,5,83,17,10,11,6,48
Luka Garza\garzalu01,C,32,66,16,38,100,20,9,6,18,186
Rudy Gay\gayru01,PF,55,157,70,62,242,56,25,19,47,446
Paul George\georgpa01,SF,31,268,91,127,213,176,67,13,126,754
Taj Gibson\gibsota01,C,52,86,15,42,229,32,22,40,27,229
Josh Giddey\giddejo01,SG,54,281,56,56,421,345,51,20,171,674
Shai Gilgeous-Alexander\gilgesh01,PG,56,477,89,328,278,331,71,46,154,1371
Anthony Gill\gillan01,PF,44,62,14,42,85,27,5,11,18,180
Freddie Gillespie\gillefr01,PF,9,9,0,3,36,5,3,9,5,21
Rudy Gobert\goberru01,C,66,362,0,303,968,72,45,137,119,1027
Brandon Goodwin\goodwbr01,PG,36,64,19,24,67,91,25,1,36,171
Jordan Goodwin\goodwjo01,SG,2,0,0,0,1,0,0,0,0,0
Aaron Gordon\gordoaa01,PF,75,434,87,171,439,188,44,44,133,1126
Eric Gordon\gordoer01,SG,57,268,124,105,113,154,28,18,107,765
Devonte' Graham\grahade01,PG,76,296,192,118,177,316,71,12,105,902
Jerami Grant\grantje01,PF,47,298,91,217,191,111,44,49,85,904
Hassani Gravett\graveha01,PG,8,18,11,3,21,20,5,1,9,50
Danny Green\greenda02,SF,62,126,103,11,157,64,60,37,45,366
Draymond Green\greendr01,PF,46,135,16,60,336,320,61,50,139,346
Jalen Green\greenja05,SG,67,406,157,188,226,176,44,18,135,1157
JaMychal Green\greenja01,PF,67,159,33,81,281,59,43,26,57,432
Javonte Green\greenja02,SF,65,176,36,80,276,60,67,32,30,468
Jeff Green\greenje02,C,75,277,53,165,231,96,28,27,71,772
Josh Green\greenjo02,SG,67,130,28,31,161,79,45,14,44,319
Blake Griffin\griffbl01,PF,56,133,38,55,228,105,27,14,31,359
Quentin Grimes\grimequ01,SG,46,95,72,13,94,44,31,11,28,275
Kyle Guy\guyky01,SG,19,26,14,8,17,17,7,1,13,74
Rui Hachimura\hachiru01,PF,42,187,55,46,160,48,23,9,33,475
Tyrese Haliburton\halibty01,SG-PG,77,430,161,160,311,628,134,49,199,1181
Tyler Hall\hallty01,SG,1,0,0,0,0,0,0,0,0,0
R.J. Hampton\hamptrj01,SG,64,175,64,75,194,158,42,13,87,489
Tim Hardaway Jr.\hardati02,SG,42,209,102,78,156,92,38,6,34,598
James Harden\hardeja01,PG-SG,65,407,148,470,500,667,82,36,284,1432
Maurice Harkless\harklma01,SF,47,83,31,20,112,23,29,24,31,217
Jared Harper\harpeja01,PG,5,14,5,4,2,14,4,1,2,37
Montrezl Harrell\harremo01,C,71,358,4,212,431,145,29,43,72,932
Gary Harris\harriga01,SG,61,240,116,83,122,108,59,9,61,679
Joe Harris\harrijo01,SF,14,56,41,5,56,14,7,2,16,158
Tobias Harris\harrito02,PF,73,493,101,170,496,252,47,43,116,1257
Shaquille Harrison\harrish01,SG,2,2,0,0,4,3,1,1,2,4
Josh Hart\hartjo01,SG-SF,54,287,73,160,388,224,61,13,114,807
Isaiah Hartenstein\harteis01,C,68,229,14,91,332,160,50,77,84,563
Udonis Haslem\hasleud01,C,13,14,1,3,25,4,1,1,5,32
Sam Hauser\hausesa01,SF,26,23,19,0,29,10,1,2,2,65
Jaxson Hayes\hayesja02,C,70,245,20,144,315,43,33,55,54,654
Killian Hayes\hayeski01,PG,66,176,44,57,210,277,78,35,111,453
Gordon Hayward\haywago01,SF,49,283,86,126,224,177,47,22,81,778
Aaron Henry\henryaa01,SF,6,1,0,0,1,0,0,2,2,2
Juancho Hernangómez\hernaju01,PF,40,44,24,19,100,20,14,10,16,131
Willy Hernangómez\hernawi01,C,50,170,4,109,338,63,21,19,51,453
Tyler Herro\herroty01,SG,66,501,175,190,329,263,44,8,174,1367
Buddy Hield\hieldbu01,SG,81,446,262,111,353,229,73,25,153,1265
Haywood Highsmith\highsha01,SF,19,16,9,2,26,6,2,3,3,43
George Hill\hillge01,SG,54,118,41,57,155,120,42,6,41,334
Malcolm Hill\hillma01,SF-SG,19,24,13,11,35,8,7,3,3,72
Solomon Hill\hillso01,PF,13,3,2,0,23,12,4,2,1,8
Nate Hinton\hintona01,SG,2,0,0,0,0,0,0,0,1,0
Jaylen Hoard\hoardja01,SF,7,44,9,6,84,17,6,5,8,103
Aaron Holiday\holidaa01,PG,63,151,39,59,122,153,42,9,67,400
Jrue Holiday\holidjr01,PG,67,478,132,137,301,457,108,29,183,1225
Justin Holiday\holidju01,SF-SG,74,261,177,50,190,128,57,33,70,749
Richaun Holmes\holmeri01,C,45,198,2,70,317,48,17,41,56,468
Rodney Hood\hoodro01,SF-SG,52,58,30,17,77,38,15,6,11,163
Scotty Hopson\hopsosc01,SG,1,2,0,0,1,1,0,0,2,4
Al Horford\horfoal01,C,69,266,89,80,530,232,49,92,65,701
Talen Horton-Tucker\hortota01,SG,60,224,49,100,193,159,59,29,82,597
Danuel House Jr.\houseda01,SF,42,80,44,44,111,44,21,17,33,248
Dwight Howard\howardw01,C,60,134,8,96,356,35,34,36,47,372
Markus Howard\howarma02,SG,31,39,28,20,12,7,9,0,7,126
Kevin Huerter\huertke01,SG,74,345,160,42,254,203,55,26,91,892
Jay Huff\huffja01,C,4,0,0,0,4,1,1,1,1,0
Elijah Hughes\hugheel01,SG-SF,36,47,25,7,58,22,14,8,17,126
Feron Hunt\huntfe01,SF,2,0,0,0,1,1,1,0,1,0
De'Andre Hunter\huntede01,SF,53,254,74,127,176,68,36,21,69,709
Chandler Hutchison\hutchch01,SF,6,1,0,2,5,2,0,0,4,4
Bones Hyland\hylanbo01,PG,69,230,131,107,188,191,41,20,86,698
Serge Ibaka\ibakase01,C-PF,54,148,37,32,250,49,11,33,43,365
Andre Iguodala\iguodan01,SF,31,46,17,15,100,114,27,22,28,124
Joe Ingles\inglejo01,SF,45,115,78,17,131,158,23,5,46,325
Brandon Ingram\ingrabr01,SF,55,453,74,266,320,307,34,26,151,1246
Kyrie Irving\irvinky01,PG,29,289,100,118,127,167,41,17,73,796
Wes Iwundu\iwundwe01,SF,3,8,3,3,13,0,1,0,1,22
Frank Jackson\jacksfr01,PG,53,194,86,86,87,55,27,9,38,560
Isaiah Jackson\jacksis01,PF,36,116,5,60,149,10,25,52,40,297
Jaren Jackson Jr.\jacksja02,PF,78,430,128,284,454,86,73,177,130,1272
Josh Jackson\jacksjo02,SF,51,120,33,55,141,54,26,22,47,328
Justin Jackson\jacksju01,SF,7,5,3,2,7,2,0,0,1,15
Reggie Jackson\jacksre01,SG,75,479,167,138,271,359,55,15,173,1263
LeBron James\jamesle01,SF,56,640,161,254,459,349,73,59,196,1695
DeJon Jarreau\jarrede01,SG,1,0,0,0,0,0,0,0,0,0
DaQuan Jeffries\jeffrda01,SG,3,1,0,0,2,1,0,0,0,2
Ty Jerome\jeromty01,SG,48,124,54,38,78,109,30,5,37,340
Isaiah Joe\joeis01,SG,55,62,45,29,56,35,14,3,19,198
Alize Johnson\johnsal02,PF,23,17,0,7,61,9,5,0,12,41
B.J. Johnson\johnsbj01,SF,4,11,4,0,15,0,0,1,0,26
Cameron Johnson\johnsca02,PF,66,279,166,98,273,99,57,16,47,822
David Johnson\johnsda08,SG,2,0,0,0,0,0,0,0,0,0
Jalen Johnson\johnsja05,PF,22,22,3,5,26,3,3,2,9,52
James Johnson\johnsja01,PF,62,144,23,29,215,130,30,34,48,340
Joe Johnson\johnsjo02,SG,1,1,0,0,0,0,0,0,0,2
Keldon Johnson\johnske04,SF,75,471,159,177,457,158,58,14,92,1278
Keon Johnson\johnske07,SG,37,96,34,41,81,76,28,12,46,267
Stanley Johnson\johnsst04,PF,48,117,33,53,155,80,43,14,35,320
Tyler Johnson\johnsty01,PG,6,6,5,0,12,7,3,3,2,17
Nikola Joki?\jokicni01,C,74,764,97,379,1019,584,109,63,281,2004
Carlik Jones\jonesca03,PG,5,1,0,2,3,5,1,0,3,4
Damian Jones\jonesda03,C,56,175,10,94,246,69,26,47,59,454
Derrick Jones Jr.\jonesde02,PF,51,105,20,56,169,30,25,33,30,286
Herbert Jones\joneshe01,PF,78,274,57,137,296,167,130,60,100,742
Jemerrio Jones\jonesje01,SF,2,2,0,0,3,0,1,0,0,4
Kai Jones\joneska01,C,21,9,1,3,11,4,1,2,6,22
Mason Jones\jonesma05,SG,4,7,1,12,10,4,2,0,1,27
Tre Jones\jonestr01,PG,69,166,10,71,155,233,42,7,46,413
Tyus Jones\jonesty01,PG,73,249,80,54,176,324,66,2,46,632
DeAndre Jordan\jordade01,C,48,92,0,22,264,21,12,35,37,206
Cory Joseph\josepco01,PG,65,178,65,100,174,237,42,17,85,521
Georgios Kalaitzakis\kalaige01,SF,13,31,10,14,21,12,11,2,20,86
Frank Kaminsky\kaminfr01,C,9,36,5,18,41,13,8,7,5,95
Luke Kennard\kennalu01,SG,70,287,190,69,229,146,42,6,60,833
Braxton Key\keybr01,SF,11,33,6,7,50,11,10,11,11,79
George King\kingge03,SF,4,0,0,1,5,0,0,0,1,1
Louis King\kinglo02,SF,10,15,8,7,12,9,2,1,0,45
Corey Kispert\kispeco01,SF,77,234,112,54,209,85,35,22,50,634
Maxi Kleber\klebima01,PF,59,141,83,46,350,68,30,58,47,411
Brandon Knight\knighbr03,PG,5,10,4,8,8,8,1,0,4,32
Nathan Knight\knighna01,PF,37,45,4,44,85,22,7,8,18,138
Kevin Knox\knoxke01,SF,30,31,15,16,44,10,4,2,7,93
John Konchar\konchjo01,SG,72,135,52,27,329,109,45,22,29,349
Furkan Korkmaz\korkmfu01,SG,67,182,77,68,175,127,33,9,48,509
Luke Kornet\kornelu01,C,15,13,0,4,29,9,3,3,0,30
Vit Krejci\krejcvi01,SG,30,68,32,19,101,57,19,8,29,187
Arnoldas Kulboka\kulboar01,SF,2,0,0,0,0,0,0,0,0,0
Jonathan Kuminga\kuminjo01,SF,70,236,50,130,234,64,31,22,74,652
Kyle Kuzma\kuzmaky01,PF,66,423,128,156,561,233,42,57,169,1130
Anthony Lamb\lamban01,SF,2,0,0,0,1,2,0,0,0,0
Jeremy Lamb\lambje01,SF-SG,56,133,55,89,154,81,31,22,37,410
Jock Landale\landajo01,C,54,101,29,34,138,45,10,14,31,265
Romeo Langford\langfro01,SG,48,83,29,23,108,21,22,16,16,218
Zach LaVine\lavinza01,SF,67,565,185,320,308,303,41,23,171,1635
Jake Layman\laymaja01,SF,34,30,8,13,36,9,7,5,10,81
